ticker,strategy,signal_date,entry_date,exit_date,signal,entry_price,exit_price,pnl_pct,critic_agree,confidence_before,confidence_after,stance_before,stance_after
GOOGL,llm,2025-10-06,2025-10-07,2025-10-14,BUY,248.1077,241.0723,-0.028356,True,0.5,0.5,BUY,BUY
GOOGL,llm,2025-10-15,2025-10-16,2025-10-23,BUY,251.6054,252.8146,0.004806,True,0.5,0.5,BUY,BUY
GOOGL,llm,2025-10-16,2025-10-17,2025-10-24,BUY,250.5961,256.4123,0.023209,True,0.5,0.5,BUY,BUY
GOOGL,llm,2025-10-17,2025-10-20,2025-10-27,BUY,254.5235,264.6469,0.039774,True,0.5,0.5,BUY,BUY
GOOGL,llm,2025-10-20,2025-10-21,2025-10-28,BUY,254.5735,269.5137,0.058687,True,0.5,0.5,BUY,BUY
GOOGL,llm,2025-10-21,2025-10-22,2025-10-29,BUY,254.2037,267.575,0.052601,True,0.5,0.5,BUY,BUY
GOOGL,llm,2025-10-24,2025-10-27,2025-11-03,BUY,264.6469,281.9955,0.065554,True,0.5,0.5,BUY,BUY
GOOGL,llm,2025-10-27,2025-10-28,2025-11-04,BUY,269.5137,276.5691,0.026178,True,0.5,0.5,BUY,BUY
GOOGL,llm,2025-10-28,2025-10-29,2025-11-05,BUY,267.575,278.6877,0.041531,True,0.5,0.5,BUY,BUY
GOOGL,llm,2025-10-29,2025-10-30,2025-11-06,BUY,291.3994,285.1435,-0.021469,True,0.5,0.5,BUY,BUY
GOOGL,llm,2025-10-30,2025-10-31,2025-11-07,BUY,283.0249,283.0248,-0.0,True,0.5,0.5,BUY,BUY
GOOGL,llm,2025-10-31,2025-11-03,2025-11-10,BUY,281.9955,284.2341,0.007938,True,0.5,0.5,BUY,BUY
GOOGL,llm,2025-11-03,2025-11-04,2025-11-11,BUY,276.5691,287.5619,0.039747,True,0.5,0.5,BUY,BUY
GOOGL,llm,2025-11-04,2025-11-05,2025-11-12,BUY,278.6877,291.4893,0.045935,True,0.5,0.5,BUY,BUY
GOOGL,llm,2025-11-05,2025-11-06,2025-11-13,BUY,285.1435,282.1554,-0.010479,True,0.5,0.5,BUY,BUY
GOOGL,llm,2025-11-10,2025-11-11,2025-11-18,BUY,287.5619,287.7318,0.000591,True,0.5,0.5,BUY,BUY
GOOGL,llm,2025-11-11,2025-11-12,2025-11-19,BUY,291.4893,286.9723,-0.015496,True,0.5,0.5,BUY,BUY
GOOGL,llm,2025-11-19,2025-11-20,2025-11-28,BUY,304.3409,323.1586,0.061831,True,0.5,0.5,BUY,BUY
GOOGL,llm,2025-11-20,2025-11-21,2025-12-01,BUY,296.2262,317.4923,0.07179,True,0.5,0.5,BUY,BUY
GOOGL,llm,2025-11-21,2025-11-24,2025-12-02,BUY,310.9266,316.5329,0.018031,True,0.5,0.5,BUY,BUY
GOOGL,llm,2025-11-24,2025-11-25,2025-12-03,BUY,325.9968,315.6835,-0.031636,True,0.5,0.5,BUY,BUY
GOOGL,llm,2025-11-25,2025-11-26,2025-12-04,BUY,320.4704,322.0194,0.004834,True,0.5,0.5,BUY,BUY
GOOGL,llm,2025-11-26,2025-11-28,2025-12-05,BUY,323.1586,319.2811,-0.011999,True,0.5,0.5,BUY,BUY
GOOGL,llm,2025-11-28,2025-12-01,2025-12-08,BUY,317.4923,320.05,0.008056,True,0.5,0.5,BUY,BUY
GOOGL,llm,2025-12-01,2025-12-02,2025-12-09,BUY,316.5329,312.37,-0.013152,True,0.5,0.5,BUY,BUY
TSLA,llm,2025-10-01,2025-10-02,2025-10-09,BUY,470.54,431.81,-0.08231,True,0.5,0.5,BUY,BUY
TSLA,llm,2025-10-02,2025-10-03,2025-10-10,BUY,443.29,436.54,-0.015227,True,0.5,0.5,BUY,BUY
TSLA,llm,2025-10-06,2025-10-07,2025-10-14,BUY,447.82,426.79,-0.046961,True,0.5,0.5,BUY,BUY
